time,close,MACD_short,MACD_long,MACD,MACD_signal,MACD_sign,DPR,buying_,buying_profit
2021-03-18,67305000.0,64723743.13464595,60295150.992837995,4428592.141807951,4385092.107478304,매수,1.059570850584846,False,1.0
2021-03-19,68318000.0,65442594.527562074,60890908.4731781,4551686.054383971,4418410.897779268,매수,1.0150508877497957,True,1.0150508877497957
2021-03-20,68745000.0,66103075.636636764,61474027.413610406,4629048.223026358,4460538.363759096,매수,1.0062501829678854,True,1.0062501829678854
2021-03-21,67093000.0,66301060.5128075,61891131.384617604,4409929.128189899,4450416.516466419,매도,0.9759691613935559,True,0.9759691613935559
2021-03-22,67092000.0,66459248.41248195,62277138.21663547,4182110.1958464757,4396755.25158394,매도,0.9999850953154577,False,1.0
2021-03-23,65240000.0,66215398.72722815,62497008.87020022,3718389.857027933,4261082.171138572,매도,0.9723961128003339,False,1.0
2021-03-24,67584000.0,66489118.98425867,62874457.9005991,3614661.083659567,4131797.9524732325,매도,1.035928877988964,False,1.0
2021-03-25,63115000.0,65814295.18252323,62892303.62710209,2921991.5554211363,3889836.6713117375,매도,0.9338748816287878,False,1.0
2021-03-26,64170000.0,65485436.14411462,62987084.48175001,2498351.6623646095,3611539.667911082,매도,1.0167155192901847,False,1.0
2021-03-27,65632000.0,65514748.91542746,63183266.09791883,2331482.8175086305,3355528.296644828,매도,1.022783232039894,False,1.0
2021-03-28,66784000.0,65768599.13328257,63450317.290240325,2318281.843042247,3148079.00515564,매도,1.0175524134568503,False,1.0
2021-03-29,68860000.0,66386879.30845882,63851493.773579344,2535385.534879476,3025540.310737169,매도,1.031085289889794,False,1.0
2021-03-30,70099000.0,67129303.44852766,64314763.05528105,2814540.3932466134,2983340.3271389836,매도,1.0179930293348824,False,1.0
2021-03-31,70508000.0,67805042.7601041,64773972.03172619,3031070.728377916,2992886.4074048805,매수,1.0058346053438707,False,1.0
2021-04-01,72067000.0,68657434.20937696,65314687.69404604,3342746.515330918,3062858.4290962853,매수,1.0221109661315029,True,1.0221109661315029
2021-04-02,73338000.0,69593547.36863817,65909507.619416535,3684039.749221638,3187094.6932722,매수,1.0176363661592684,True,1.0176363661592684
2021-04-03,75280000.0,70730837.89601523,66604159.366231024,4126678.5297842026,3375011.4607571303,매수,1.0264801330824402,True,1.0264801330824402
2021-04-04,73224000.0,71229470.31719965,67094871.92427348,4134598.392926164,3526928.847308987,매수,0.9726886291179596,True,0.9726886291179596
2021-04-05,76642000.0,72311976.25443266,67802539.28217165,4509436.972261012,3723430.4724215474,매수,1.0466786845842893,True,1.0466786845842893
2021-04-06,77605000.0,73370581.00407259,68529096.83840805,4841484.165664539,3947041.2111813524,매수,1.0125649121891391,True,1.0125649121891391
2021-04-07,72387000.0,73173864.80317982,68815031.18570726,4358833.617472559,4029399.6924723606,매수,0.9327620642999807,True,0.9327620642999807
2021-04-08,74330000.0,73405091.84261745,69223764.12046298,4181327.7221544683,4059785.2984184534,매수,1.026841836241314,True,1.026841836241314
2021-04-09,75471000.0,73818273.47419916,69686749.64223109,4131523.831968069,4074133.00513203,매수,1.0153504641463742,True,1.0153504641463742
2021-04-10,78514000.0,74757418.77955063,70340917.4203647,4416501.359185934,4142606.6759567587,매수,1.0403201229611374,True,1.0403201229611374
