time,open,high,low,close,volume,range,target,larry_profit_rate
2021-09-06,57926000.0,59971000.0,57462000.0,59557000.0,2453.51290965,2007200.0,58858000.0,1.0118760406401848
2021-09-07,59557000.0,61143000.0,58000000.0,58200000.0,3551.94972777,2514400.0,61564200.0,1.0
2021-09-08,57515000.0,58232000.0,52889000.0,54722000.0,6870.92127546,4274400.0,60029400.0,1.0
2021-09-09,54700000.0,56500000.0,54603000.0,55992000.0,2756.96965158,1517600.0,58974400.0,1.0
2021-09-10,55994000.0,56646000.0,54720000.0,55096000.0,2280.30331052,1540800.0,57511600.0,1.0
2021-09-11,55096000.0,55694000.0,54289000.0,55028000.0,1611.5895398,1124000.0,56636800.0,1.0
2021-09-12,55030000.0,55544000.0,54250000.0,55179000.0,1146.91104966,1035200.0,56154000.0,1.0
2021-09-13,55155000.0,56698000.0,53200000.0,53946000.0,3044.01511312,2798400.0,56190200.0,0.9600606511455734
2021-09-14,53952000.0,56335000.0,53850000.0,55987000.0,1772.23826801,1988000.0,56750400.0,1.0
2021-09-15,56005000.0,57250000.0,55809000.0,57207000.0,2446.60688021,1152800.0,57993000.0,1.0
2021-09-16,57217000.0,57703000.0,56370000.0,56946000.0,2489.92008072,1066400.0,58369800.0,1.0
2021-09-17,56921000.0,57801000.0,56693000.0,57439000.0,1840.25722845,886400.0,57987400.0,1.0
2021-09-18,57415000.0,58953000.0,56868000.0,58462000.0,1540.64011057,1668000.0,58301400.0,1.0027546508317124
2021-09-19,58424000.0,58783000.0,57377000.0,57840000.0,1032.66640652,1124800.0,60092000.0,1.0
2021-09-20,57862000.0,58174000.0,53385000.0,54772000.0,4004.064199765,3831200.0,58986800.0,1.0
2021-09-21,54773000.0,55056000.0,50700000.0,51878000.0,3436.99514191,3484800.0,58604200.0,1.0
2021-09-22,51867000.0,53069000.0,50071000.0,52040000.0,3619.1437955,2398400.0,55351800.0,1.0
2021-09-23,52036000.0,54600000.0,52036000.0,53513000.0,2850.76742897,2051200.0,54434400.0,0.9830732037094191
2021-09-24,53513000.0,54629000.0,50720000.0,52200000.0,4263.26120372,3127200.0,55564200.0,1.0
2021-09-25,52216000.0,52567000.0,50900000.0,51790000.0,1761.73904526,1333600.0,55343200.0,1.0
2021-09-26,51778000.0,53594000.0,50588000.0,52897000.0,2047.13986333,2404800.0,53111600.0,0.9959594514192757
2021-09-27,52914000.0,53742000.0,52254000.0,52516000.0,1614.28836193,1190400.0,55318800.0,1.0
2021-09-28,52528000.0,52953000.0,50639000.0,50992000.0,2019.25577332,1851200.0,53718400.0,1.0
2021-09-29,50993000.0,51800000.0,49855000.0,51344000.0,2174.443342555,1556000.0,52844200.0,1.0
2021-09-30,51344000.0,53303000.0,50173000.0,52636000.0,1879.22220247,2504000.0,52900000.0,0.9950094517958412
2021-10-01,52640000.0,58047000.0,52360000.0,57080000.0,2949.20147963,4549600.0,55144000.0,1.0351080806615407
2021-10-02,57096000.0,58965000.0,57001000.0,58560000.0,1654.53037567,1571200.0,61645600.0,1.0
2021-10-03,58561000.0,58579000.0,57256000.0,58137000.0,1293.7076792,1058400.0,60132200.0,1.0
2021-10-04,58135000.0,59350000.0,57377000.0,57773000.0,1765.36377332,1578400.0,59193400.0,0.9760040815361172
2021-10-05,57771000.0,61038000.0,57300000.0,60443000.0,3613.68966503,2990400.0,59349400.0,1.018426471034248
2021-10-06,60464000.0,66980000.0,60051000.0,65898000.0,5347.70081108,5543200.0,63454400.0,1.0385095438614187
2021-10-07,65926000.0,67747000.0,65220000.0,65767000.0,3076.10582199,2021600.0,71469200.0,1.0
2021-10-08,65709000.0,68000000.0,65215000.0,66543000.0,1935.00365387,2228000.0,67730600.0,0.9824658278532894
2021-10-09,66550000.0,67747000.0,65668000.0,67153000.0,1116.48750615,1663200.0,68778000.0,1.0
2021-10-10,67174000.0,68200000.0,66310000.0,67395000.0,1316.14837186,1512000.0,68837200.0,1.0
2021-10-11,67391000.0,70800000.0,67162000.0,70604000.0,2097.71757854,2910400.0,68903000.0,1.0246868786555012
2021-10-12,70602000.0,71475000.0,69232000.0,69708000.0,2073.16120652,1794400.0,73512400.0,1.0
2021-10-13,69667000.0,70289000.0,66777000.0,68523000.0,2032.83590623,2809600.0,71461400.0,1.0
2021-10-14,68557000.0,71300000.0,68530000.0,69638000.0,2135.8331831,2216000.0,71366600.0,1.0
2021-10-15,69638000.0,74000000.0,69101000.0,73679000.0,4942.14045922,3919200.0,71854000.0,1.0253987251927519
2021-10-16,73679000.0,76605000.0,73102000.0,74339000.0,4313.85848926,2802400.0,77598200.0,1.0
2021-10-17,74319000.0,75283000.0,73926000.0,74727000.0,2922.46553532,1085600.0,77121400.0,1.0
2021-10-18,74776000.0,77000000.0,73717000.0,76297000.0,4088.3098763,2626400.0,75861600.0,1.0057393991162855
2021-10-19,76329000.0,77200000.0,75493000.0,76498000.0,3374.36691963,1365600.0,78955400.0,1.0
2021-10-20,76498000.0,81086000.0,76261000.0,80907000.0,4512.67542314,3860000.0,77863600.0,1.0390862996316637
2021-10-21,80910000.0,81200000.0,77331000.0,77615000.0,5009.88057992,3095200.0,84770000.0,1.0
2021-10-22,77603000.0,77928000.0,75000000.0,75127000.0,4301.75810819,2342400.0,80698200.0,1.0
2021-10-23,75122000.0,75421000.0,73200000.0,74627000.0,3835.39643454,1776800.0,77464400.0,1.0
2021-10-24,74600000.0,75296000.0,73634000.0,73865000.0,2905.23612259,1329600.0,76376800.0,1.0
2021-10-25,73865000.0,76965000.0,73480000.0,76683000.0,3862.08380608,2788000.0,75194600.0,1.0197939745673226
2021-10-26,76655000.0,76964000.0,74768000.0,74788000.0,3532.89393319,1756800.0,79443000.0,1.0
2021-10-27,74802000.0,75480000.0,70400000.0,72304000.0,5647.31209614,4064000.0,76558800.0,1.0
2021-10-28,72313000.0,74357000.0,70906000.0,74083000.0,4343.51036916,2760800.0,76377000.0,1.0
2021-10-29,74098000.0,74740000.0,70580000.0,73710000.0,5107.46816897,3328000.0,76858800.0,1.0
2021-10-30,73745000.0,75452000.0,72923000.0,73456000.0,4183.69621462,2023200.0,77073000.0,1.0
2021-10-31,73444000.0,74500000.0,71910000.0,72129000.0,3791.89817679,2072000.0,75467200.0,1.0
2021-11-01,72108000.0,73904000.0,71001000.0,73073000.0,2940.04201693,2322400.0,74180000.0,1.0
2021-11-02,73105000.0,75250000.0,71877000.0,74543000.0,3561.102376575,2698400.0,75427400.0,1.0
2021-11-03,74540000.0,75500000.0,72650000.0,72950000.0,3559.0135407,2280000.0,77238400.0,1.0
2021-11-04,72943000.0,74994000.0,72001000.0,74079000.0,3905.6930855,2394400.0,75223000.0,1.0
2021-11-05,74071000.0,74955000.0,73207000.0,74223000.0,3589.37933971,1398400.0,76465400.0,1.0
2021-11-06,74216000.0,74440000.0,73645000.0,74029000.0,3174.14266893,636000.0,75614400.0,1.0
2021-11-07,74026000.0,75771000.0,73904000.0,74914000.0,2544.97726193,1493600.0,74662000.0,1.0033752109506844
2021-11-08,74901000.0,80124000.0,74857000.0,79217000.0,3826.74915614,4213600.0,76394600.0,1.0369450196741654
2021-11-09,79253000.0,82477000.0,79188000.0,80611000.0,4027.47644098,2631200.0,83466600.0,1.0
2021-11-10,80641000.0,82445000.0,79300000.0,81806000.0,4036.84256169,2516000.0,83272200.0,1.0
